LATITUDE,LONGITUDE,PARCELNO,SALE_PRC,LND_SQFOOT,TOT_LVG_AREA,SPEC_FEAT_VAL,RAIL_DIST,OCEAN_DIST,WATER_DIST,CNTR_DIST,SUBCNTR_DI,HWY_DIST,age,avno60plus,month_sold,structure_quality
25.8910306063,-80.1605605249,622280070620,440000,9375,1753,0,2815.9,12811.4,347.6,42815.3,37742.2,15954.9,67,0,8,4
25.8913341472,-80.153739502,622280100470,800000,9375,2276,49206,4412.9,10574.1,297.1,43530.4,37328.7,18200.5,61,0,2,4
25.8917646206,-80.1526571373,622280100530,988000,12450,2058,10033,4585,10156.5,0,43797.5,37423.2,18514.4,63,0,9,4
25.891824571,-80.1546394619,622280100200,755000,12800,1684,16681,4063.4,10836.8,326.6,43599.7,37550.8,17903.4,42,0,7,4
25.8920596966,-80.1613541539,622280070180,630000,9900,1531,2978,2391.4,13017,188.9,43135.1,38176.2,15687.2,41,0,2,4
25.8924726072,-80.1572166474,622280080100,1020000,10387,1753,23116,3277.4,11667.8,0,43598.7,37973.9,17068.2,63,0,2,5
25.8930187999,-80.1574258802,622280080400,850000,10272,1663,34933,3112.4,11718.1,10.5,43780.8,38198.3,16989.9,21,0,9,4
25.8930463777,-80.1615562769,622280080020,250000,9375,1493,11668,2081.8,13043.8,51.5,43481.7,38542,15623.3,56,0,3,4
25.8930495526,-80.1580476911,622280080370,1220000,13803,3077,34580,2937.7,11917.7,9.7,43730.1,38235.2,16787,63,0,11,5
25.8932048397,-80.1555378492,622280080480,1160000,10848,1983,28806,3512,11062.3,12.1,44018.8,38132.1,17618.3,64,0,2,4
25.8934605014,-80.1683697701,622290410300,260000,8438,1794,0,242.8,15310.4,738.6,43127.5,39333.4,13433.6,51,0,11,2
25.893526909,-80.1668569854,622290410220,178000,8438,1509,1248,652.2,14808.8,366.5,43244.6,39200.2,13927,56,0,7,2
25.8935304948,-80.1666650338,622290410210,250000,8438,1331,0,705,14750,353.2,43261.2,39184.8,13995.2,66,0,7,2
25.8941562568,-80.1590586955,622280080970,913500,8475,1742,9836,2432.6,12230.7,0,44047.7,38727.5,16494,46,0,9,5
25.8943570265,-80.1680434581,622290410080,159000,8375,1158,2677,164,15183.5,537.6,43467.9,39609.3,13555.8,65,0,11,2
25.8944409224,-80.1611290865,622280080090,590000,9375,2574,37975,1847.6,12871,42,44007.1,38994.4,15786.3,62,0,10,4
25.8946643832,-80.1610606319,622280120010,450000,10625,1529,3607,1805.9,12840.6,43,44081.8,39058.8,15809.4,61,0,2,4
25.8954044487,-80.1544097829,622280120740,1870000,10875,4552,35124,3253.8,10645.2,0,44898.4,38841.8,18007.8,8,0,3,5
25.8969740713,-80.151359975,622280200610,1235000,9375,2931,30962,3662.5,9665,0.2,45722.7,39195.8,19069.7,58,0,8,5
25.8972207514,-80.1489638897,622280210440,1265000,9375,3313,23278,4257.8,8852.7,0,46059.9,39174,19836.3,55,0,1,5
25.8975851356,-80.1513917581,622280200460,2450000,9375,4028,62453,3523.5,9672.6,4.8,45930.7,39415.6,19068.5,2,0,1,5
25.8975933919,-80.1511638343,622280200450,980000,9375,3083,39782,3584.5,9599,5.6,45956.4,39406.1,19144.5,57,0,6,5
25.8980679312,-80.1511942939,622280200360,1340000,9375,2566,38299,3479.1,9610.7,0,46114.7,39573.8,19140.8,58,0,2,5
25.8985041069,-80.1453945003,622280210940,1200000,15244,3315,26097,5067.3,7668.4,0,46848.5,39436.1,21037.4,37,0,8,5
25.8989153848,-80.145918368,622280211060,1020000,9750,2494,48603,4844.5,7829.6,5.1,46955.5,39637,20858.2,16,0,1,5
25.8991147778,-80.1532505715,622280200010,950000,9375,2387,24193,2704.7,10250.9,0,46285.1,40070,18479.8,26,0,10,5
25.8994777195,-80.148292138,622280210580,1675000,13176,4480,31386,4048.2,8595.8,0,46908.8,39925.7,20065.3,24,0,5,5
25.9010582278,-80.150690969,722210034880,120000,1889,862,0,3144.4,9396,501.4,47253.4,40661.5,19372.4,21,0,10,1
